LinguisticVariant	Concept_name	Concept_description	Risk_name	Risk_description	ConsumerProtectionMeasure_name	ConsumerProtectionMeasure_description	ActionableForesight_name	ActionableForesight_description	ConsumerProtectionPrinciples
ape in	Speculative identity marker	Signals impulsive speculative entry, usually associated with hype/FOMO.	SpeculativeDecisionRisk	Risk that consumers enter high-risk positions impulsively due to hype, FOMO, or group identity.	PlainLanguageRiskExplanation; SuitabilityWarning; DigitalFinancialLiteracy	Explain speculative risk in simple language; Warn users before high-risk or hype-driven entry; Educate users about FOMO and leveraged speculation	HypeSignalMonitoring; SuitabilityRiskScoring; ConsumerDecisionNudge	Monitor discourse and flows for hype/FOMO signals; Score products or pools by suitability risk; Suggest safer decision prompts before entry	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
approval	Token-approval risk register	Refers to authorization/permission mechanics that may expose assets to malicious or excessive spending rights.	MaliciousApprovalRisk	Risk that token permissions or signatures enable unauthorized or excessive asset transfers.	ApprovalWarning; PermissionReview; RevocationSupport	Warn users about token permissions before signing; Show scope and duration of approvals; Help users revoke unsafe approvals	ApprovalRiskMonitoring; UnsafeContractScreening; WalletSafetyAlert	Track abnormal approval patterns; Screen contracts for excessive permissions; Alert users and ecosystem actors about unsafe signing flows	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
collateral	Liquidation technical register	Technical term for assets pledged to secure a DeFi borrowing position.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
DAO vulnerabilities	Governance capture and legitimacy frame	Frames governance as exposed to procedural, voting, or legitimacy vulnerabilities.	GovernanceCaptureRisk	Risk that voting power concentration or legitimacy failures distort protocol governance decisions.	GovernanceTransparency; VotingPowerDisclosure; AccountabilityMapping	Disclose voting concentration and delegate influence; Show who can shape decisions; Map accountability for governance outcomes	GovernanceConcentrationMonitoring; LegitimacyRiskAssessment; DelegationStrategyReview	Track voting-power concentration; Assess governance legitimacy risks; Review delegation or participation strategies	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
degen	Speculative identity marker	Marks speculative identity and high-risk orientation in crypto communities.	SpeculativeDecisionRisk	Risk that consumers enter high-risk positions impulsively due to hype, FOMO, or group identity.	PlainLanguageRiskExplanation; SuitabilityWarning; DigitalFinancialLiteracy	Explain speculative risk in simple language; Warn users before high-risk or hype-driven entry; Educate users about FOMO and leveraged speculation	HypeSignalMonitoring; SuitabilityRiskScoring; ConsumerDecisionNudge	Monitor discourse and flows for hype/FOMO signals; Score products or pools by suitability risk; Suggest safer decision prompts before entry	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
depeg	Stablecoin crisis alarm	Signals loss of parity between a stable/synthetic asset and its reference asset.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
divergence loss	Impermanent-loss comprehension gap	Alternative technical expression for impermanent loss, requiring user comprehension.	ImpermanentLossRisk	Risk that liquidity providers underperform simple holding when pooled asset prices diverge.	ImpermanentLossExplanation; LiquidityProvisionWarning; YieldDisclosure	Explain divergence loss in plain language; Warn liquidity providers about price-divergence risk; Disclose that fees may not offset relative loss	PoolRiskBenchmarking; DivergenceLossSimulation; LPStrategyReview	Compare pools by impermanent-loss exposure; Simulate price-divergence scenarios; Review whether LP strategy remains adequate	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
drainer	Harmed-user wallet-loss narrative	Names the malicious tool/actor associated with wallet asset loss.	WalletDrainRisk	Risk of user asset loss through phishing, malicious approvals, compromised keys, or unsafe interfaces.	SecurityWarning; SupportTriage; IncidentGuidance	Warn about phishing, unsafe approvals, and key compromise; Route harmed users to support and evidence collection; Provide incident-response guidance	WalletDrainClusterDetection; PhishingCampaignMonitoring; ConsumerHarmEscalation	Detect clusters of wallet-loss reports; Monitor suspected phishing campaigns; Escalate repeated consumer harm for investigation	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
emergency measures	Emergency governance register	Signals exceptional governance or protocol actions during crisis conditions.	CrisisGovernanceRisk	Risk that urgent governance or protocol actions during stress create uncertainty, errors, or unequal protection.	CrisisCommunication; EmergencyDecisionDisclosure; ManualReview	Communicate exceptional measures clearly; Disclose emergency decision rationale and consequences; Require review of high-impact urgent actions	CrisisSignalMonitoring; EmergencyGovernanceAudit; StakeholderImpactAssessment	Track crisis language and urgent proposals; Audit emergency governance actions; Assess distributional impact on users	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries; 12. Complaints Handling and Redress
eMode	Collateral-efficiency risk register	Technical Aave risk-parameter term affecting borrowing efficiency and liquidation exposure.	ExcessiveLeverageRisk	Risk that efficiency-oriented collateral parameters encourage borrowing exposure that amplifies liquidation losses.	LeverageWarning; CollateralParameterDisclosure; SuitabilityWarning	Warn users about amplified liquidation exposure; Disclose collateral efficiency and risk parameters; Assess appropriateness of high borrowing exposure	LeverageExposureMonitoring; CollateralEfficiencyBenchmark; LiquidationLossForecast	Monitor aggregate leverage exposure; Compare collateral modes by risk efficiency; Forecast losses under price shocks	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
