DiscourseUnit_id	DiscourseUnit_text	DiscourseUnit_date	Protocol	LinguisticVariant	ActorType	Source_url	Source_type	Platform	Concept_name	Concept_description	Risk_name	Risk_description	ConsumerProtectionMeasure_name	ConsumerProtectionMeasure_description	ActionableForesight_name	ActionableForesight_description	ConsumerProtectionPrinciples
5a678c3d7750c8a5	...ion, there are two reasons about why SM Update ARFCs are not live yet: SM strategy rework needed - Part 4: Consequence of AIP-42 (More details below) GHO depeg issue making stableswap liquidity counter effective right now.	2023-09-14	Aave v3	GHO depeg	Operator	https://governance.aave.com/t/12748/14	Forum	Ethereum	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
60b42f46795c7c70	*$GHO depeg could be worse than it is now.	2023-08-10	Aave v3	GHO depeg	Operator	https://governance.aave.com/t/14410/5	Forum	Ethereum	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
aaa1de31ded9f8c7	Freezing swaps in GSM between GHO and depegged USDC/USDT can prevent the buildup of depegged exogenous assets, thus helping mitigate GHO depeg.	2023-08-23	Aave v3	GHO depeg	Operator	https://governance.aave.com/t/14442/3	Forum	Ethereum	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
77aff47020336cc3	Formulating the GHO Cross-Chain Strategy for the post-improvement of GHO depeg is highly beneficial.	2024-01-19	Aave v3	GHO depeg	Operator	https://governance.aave.com/t/16291/7	Forum	Ethereum	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
194406ed47b63081	In the future, this liquidity crunch might aggravate a GHO depeg.	2025-01-20	Aave v3	GHO depeg	Operator	https://governance.aave.com/t/20645/5	Forum	Ethereum	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
1291cb39331a69ab	GHO Depeg and Liquidity Analysis Summary of Events On October 26th, between 9:15 AM and 10:15 AM UTC, a significant de-peg of GHO occurred, dropping its price from $0.962 to $0.946.	2023-10-27	Aave v3	GHO depeg	Operator	https://governance.aave.com/t/gho-depeg-and-liquidity-analysis/15250	Forum	Ethereum	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
92bd7350d83c2c33	Borrowing against those is good with 45-55% LTV (whatever current parameters are);	2022-11-23	Aave v3	LTV	Operator	https://governance.aave.com/t/10757/10	Forum	Ethereum	Liquidation technical register	Abbreviation for loan-to-value, a core borrowing and liquidation risk parameter.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
4d7ed83a7faf8a30	While emergency measures have to be taken, the problem has been accurately identified (LTV too high for some long tail assets) and lowering LTVs should be enough.	2022-11-23	Aave v3	LTV	Operator	https://governance.aave.com/t/10757/16	Forum	Ethereum	Liquidation technical register	Abbreviation for loan-to-value, a core borrowing and liquidation risk parameter.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
8bd16c00f96b6bb8	Simple Summary A proposal to adjust 4 total risk parameters, including Liquidation Threshold (LT) and Loan-To-Value (LTV), for USDC and DAI markets on Aave V2 Ethereum.	2022-12-01	Aave v3	LTV	Operator	https://governance.aave.com/t/10897/1	Forum	Ethereum	Liquidation technical register	Abbreviation for loan-to-value, a core borrowing and liquidation risk parameter.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
c161982d33648a5a	Simple Summary A proposal to adjust eight (8) total risk parameters, including Liquidation Threshold (LT) and Loan-To-Value (LTV), for four (4) assets on Aave V2 Ethereum.	2022-12-05	Aave v3	LTV	Operator	https://governance.aave.com/t/10926/1	Forum	Ethereum	Liquidation technical register	Abbreviation for loan-to-value, a core borrowing and liquidation risk parameter.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
51a37af435d8fa44	On Aave v3, the emergency action is more precise than on v2: freeze the asset and set its LTV to 0, which, different than on v2, factually removes all the “collateral power” from the asset, even on existing positions.	2022-12-09	Aave v3	LTV	Operator	https://governance.aave.com/t/10972/1	Forum	Ethereum	Liquidation technical register	Abbreviation for loan-to-value, a core borrowing and liquidation risk parameter.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
